customer_id,gender,age,name
C241288,Female,28,
C111565,Male,21,
C266599,Male,20,
C988172,Female,66,
C189076,Female,53,
C657758,Female,28,
C151197,Female,49,
C176086,Female,32,
C159642,Male,69,
C283361,Female,60,
C240286,Female,36,
C191708,Female,29,
C225330,Female,67,
C312861,Male,25,
C555402,Female,67,
C362288,Male,24,
C300786,Male,65,
C330667,Female,42,
C218149,Female,46,
C196845,Male,24,
C220180,Male,23,
C125696,Female,27,
C322947,Male,52,
C313348,Male,44,
C204553,Female,42,
C285161,Male,51,
C289625,Female,25,
C192344,Male,50,
C447138,Female,65,
C251229,Male,29,
C159164,Female,66,
C501658,Male,23,
C176727,Female,32,
C232624,Male,51,
C164092,Female,66,
C276887,Male,68,
C245456,Male,43,
C450287,Female,59,
C204279,Male,54,
C452806,Male,24,
C716788,Female,49,
C155059,Male,67,
C306662,Female,48,
C607615,Female,40,
C120164,Female,41,
C134449,Male,46,
C317818,Female,19,
C241642,Female,43,
C126436,Male,18,
C653385,Female,22,
C227070,Female,61,
C317478,Female,41,
C237330,Female,53,
C626042,Female,43,
C133687,Female,45,
C841663,Female,29,
C213742,Male,43,
C962515,Female,19,
C112279,Female,67,
C158837,Female,36,
C336576,Male,64,
C716161,Female,33,
C439382,Female,33,
C123427,Male,66,
C224743,Female,29,
C119549,Male,22,
C187266,Female,63,
C173084,Female,24,
C126956,Female,24,
C236859,Female,44,
C309926,Male,34,
C493252,Female,47,
C109871,Male,38,
C136117,Female,57,
C258404,Male,67,
C169749,Male,41,
C199947,Female,40,
C135790,Female,69,
C606418,Female,47,
C111611,Female,53,
C679476,Male,40,
C542025,Male,60,
C168491,Male,30,
C169650,Female,66,
C158160,Male,22,
C552345,Male,53,
C218383,Female,52,
C309438,Male,26,
C253905,Male,66,
C992677,Male,65,
C584700,Female,43,
C157070,Female,59,
C177975,Female,30,
C830576,Female,25,
C807389,Female,29,
C277842,Female,19,
C183011,Male,62,
C567813,Male,39,
C282974,Female,33,
C181972,Female,26,
C189493,Male,43,
C242748,Female,40,
C324683,Male,55,
C307921,Female,24,
C152549,Male,24,
C111832,Female,30,
C204174,Male,34,
C279370,Female,64,
C907582,Female,57,
C166635,Male,18,
C276043,Female,26,
C282643,Female,19,
C820515,Female,22,
C331761,Male,48,
C326893,Female,56,
C306395,Male,35,
C885344,Female,60,
C112750,Female,32,
C274870,Male,27,
C199864,Female,56,
C997380,Male,35,
C132002,Female,68,
C255058,Female,64,
C271799,Female,60,
C765620,Male,64,
C891545,Female,41,
C519513,Male,30,
C125624,Male,40,
C658980,Female,29,
C319231,Male,25,
C150594,Female,60,
C846730,Female,42,
C249877,Male,54,
C200826,Female,50,
C263874,Male,54,
C663463,Female,45,
C134370,Female,40,
C310642,Male,24,
C651699,Male,40,
C989693,Female,32,
C123581,Female,28,
C192446,Female,22,
C143343,Female,21,
C223343,Female,31,
C309082,Female,61,
C236365,Female,67,
C178734,Male,52,
C223010,Male,44,
C289933,Female,48,
C340116,Female,53,
C816586,Male,27,
C434171,Female,28,
C215384,Female,43,
C143442,Male,54,
C102926,Male,41,
C340063,Female,59,
C131786,Female,32,
C194380,Female,41,
C269623,Female,30,
C847171,Male,22,
C556552,Female,51,
C876528,Female,23,
C303493,Male,40,
C978718,Male,37,
C111766,Female,24,
C175946,Male,22,
C160005,Female,61,
C599109,Female,25,
C693789,Female,66,
C259342,Female,59,
C208108,Male,38,
C244213,Male,34,
C102685,Female,26,
C244291,Female,59,
C162371,Female,53,
C375422,Male,23,
C911768,Female,23,
C270129,Female,66,
C617189,Female,56,
C271029,Female,38,
C292356,Male,28,
C329633,Female,44,
C244780,Female,26,
C139568,Female,41,
C220281,Male,50,
C311034,Female,23,
C584141,Female,31,
C221934,Male,26,
C513561,Female,56,
C257990,Female,34,
C168348,Female,29,
C161285,Female,20,
C166191,Female,54,
C172966,Male,40,
C320928,Male,40,
C131497,Male,21,
C526660,Female,32,
C266961,Male,47,
C204741,Female,41,
C181619,Male,33,
C250395,Female,67,
C322994,Male,37,
C250673,Female,38,
C192978,Male,28,
C163033,Female,38,
C558480,Female,56,
C287409,Male,25,
C993675,Male,66,
C307535,Female,37,
C238961,Female,19,
C671866,Female,53,
C171154,Female,69,
C848969,Male,69,
C240171,Female,31,
C665777,Male,39,
C256730,Male,53,
C298229,Male,26,
C183404,Male,63,
C316398,Female,34,
C557245,Male,25,
C662958,Female,20,
C545065,Female,18,
C284679,Male,53,
C581947,Male,46,
C199311,Female,34,
C206501,Female,61,
C726021,Female,38,
C448846,Female,67,
C168663,Male,33,
C616106,Female,63,
C771066,Female,21,
C101196,Female,41,
C898405,Female,48,
C372643,Male,27,
C195626,Female,22,
C622748,Female,54,
C290280,Female,51,
C281268,Female,29,
C826744,Female,44,
C252021,Female,20,
C647656,Female,59,
C250065,Female,23,
C230766,Female,25,
C243515,Male,63,
C204632,Male,21,
C252598,Female,56,
C866033,Male,39,
C288416,Male,50,
C340089,Female,54,
C555040,Male,27,
C809281,Male,56,
C375325,Female,53,
C155335,Female,62,
C225051,Female,42,
C635016,Female,68,
C165705,Male,27,
C709571,Male,39,
C851508,Male,44,
C184126,Female,52,
C233642,Female,19,
C258410,Female,68,
C270667,Male,22,
C321527,Male,61,
C109489,Male,23,
C103824,Male,34,
C126571,Female,33,
C169676,Female,60,
C321889,Female,24,
C212128,Male,53,
C301271,Male,22,
C221995,Male,50,
C318802,Male,49,
C263812,Male,31,
C321609,Male,29,
C666013,Female,52,
C172185,Female,67,
C150463,Female,50,
C274529,Female,58,
C242659,Female,50,
C194451,Female,68,
C252600,Female,59,
C309645,Female,66,
C336232,Male,69,
C325906,Male,27,
C138755,Female,52,
C296745,Female,27,
C221838,Female,43,
C104985,Male,36,
C826514,Female,19,
C267333,Male,21,
C130479,Male,20,
C310108,Female,23,
C358486,Female,52,
C208738,Male,24,
C111056,Female,20,
C999586,Male,58,
C296862,Male,21,
C101550,Male,35,
C278142,Female,29,
C330779,Male,68,
C282968,Female,50,
C852668,Female,44,
C274936,Female,47,
C269751,Female,48,
C136051,Female,39,
C266462,Male,27,
C329163,Female,34,
C305398,Female,65,
C267961,Female,53,
C101248,Female,19,
C165812,Female,19,
C339518,Female,31,
C235057,Female,43,
C103944,Male,42,
C260889,Male,58,
C207753,Female,34,
C204154,Female,32,
C290344,Male,27,
C730395,Female,28,
C312155,Male,55,
C259743,Female,48,
C605200,Female,46,
C317850,Female,20,
C986860,Male,39,
C236428,Male,44,
C278588,Female,35,
C154184,Male,48,
C287459,Female,22,
C617884,Female,52,
C294024,Male,45,
C790567,Male,64,
C799447,Male,38,
C144628,Female,45,
C260810,Female,41,
C670524,Female,57,
C334281,Male,57,
C314173,Female,60,
C122712,Female,44,
C276111,Male,38,
C277924,Male,65,
C286466,Male,30,
C327001,Female,50,
C509924,Female,19,
C453635,Male,26,
C259539,Female,54,
C729392,Female,63,
C280085,Female,66,
C767634,Female,48,
C230018,Male,46,
C238063,Male,54,
C308584,Male,62,
C216619,Female,64,
C241523,Male,55,
C209761,Female,20,
C329153,Male,41,
C126702,Male,54,
C287787,Male,34,
C142943,Female,31,
C100484,Male,48,
C260213,Female,44,
C210589,Female,42,
C885556,Male,25,
C944366,Male,64,
C462011,Female,67,
C262366,Female,55,
C212400,Female,62,
C204307,Female,54,
C162871,Female,43,
C119825,Female,30,
C260171,Female,58,
C244973,Male,49,
C208765,Female,49,
C321053,Female,19,
C183356,Female,58,
C155763,Female,49,
C567509,Female,50,
C486241,Female,21,
C306892,Male,21,
C266819,Male,63,
C317897,Male,30,
C545424,Male,66,
C224223,Female,23,
C286181,Female,69,
C144371,Female,45,
C402433,Male,53,
C297425,Female,50,
C222906,Female,45,
C236397,Female,47,
C309079,Female,36,
C116633,Female,61,
C259606,Female,46,
C333065,Male,47,
C211494,Female,38,
C302831,Female,41,
C282397,Male,29,
C233697,Female,58,
C129976,Male,69,
C812053,Female,53,
C324783,Male,26,
C281502,Male,53,
C433234,Female,63,
C167183,Female,54,
C311195,Female,54,
C107399,Male,45,
C992967,Female,62,
C246719,Female,18,
C220859,Female,44,
C285422,Male,50,
C217049,Male,31,
C141094,Male,62,
C310628,Female,20,
C297711,Female,65,
C211354,Female,63,
C281864,Female,57,
C234177,Female,59,
C335822,Female,44,
C107261,Female,63,
C653357,Male,65,
C327084,Female,68,
C218706,Female,21,
C321931,Female,33,
C403983,Female,23,
C137912,Female,49,
C229733,Male,57,
C304835,Female,54,
C124933,Female,41,
C111115,Female,21,
C248988,Female,45,
C162574,Female,58,
C331880,Male,53,
C291911,Female,53,
C153958,Male,39,
C125209,Female,21,
C320640,Female,51,
C803666,Male,50,
C134691,Female,50,
C729802,Male,61,
C252250,Male,44,
C208545,Female,31,
C310975,Male,64,
C109758,Male,50,
C214463,Male,45,
C387164,Female,29,
C135196,Female,33,
C284031,Male,29,
C259260,Male,65,
C109593,Female,66,
C270238,Male,54,
C308978,Male,44,
C221607,Male,46,
C115148,Male,37,
C253248,Female,22,
C290760,Female,55,
C258089,Male,41,
C222102,Male,42,
C209440,Male,24,
C203263,Female,43,
C232103,Male,40,
C213360,Female,22,
C225105,Female,27,
C158124,Female,68,
C246484,Female,48,
C197019,Female,56,
C947114,Male,25,
C115431,Male,30,
C266394,Female,49,
C122371,Male,57,
C736428,Female,46,
C127339,Male,29,
C164662,Female,69,
C248884,Female,42,
C100684,Female,38,
C240688,Female,46,
C246364,Male,31,
C195413,Male,26,
C197308,Female,48,
C264767,Male,30,
C299172,Male,56,
C994327,Male,65,
C337644,Female,53,
C175449,Female,43,
C249092,Male,26,
C432132,Male,23,
C289802,Female,54,
C194330,Male,56,
C127945,Female,37,
C202057,Male,48,
